K,TestResult
0,0
1000,280
2000,287
3000,295
4000,287
5000,302
6000,305
7000,310
8000,317
9000,319
10000,326
11000,324
12000,321
13000,325
14000,328
15000,349
16000,345
17000,337
18000,334
19000,331
20000,339
21000,336
22000,344
23000,347
24000,345
25000,360
26000,356
27000,348
28000,376
29000,359
30000,363
31000,367
32000,358
33000,360
34000,362
35000,365
36000,361
37000,380
38000,383
39000,383
40000,372
41000,372
42000,362
43000,374
44000,367
45000,381
46000,367
47000,375
48000,379
49000,392
50000,371
51000,376
52000,383
53000,377
54000,377
55000,392
56000,375
57000,370
58000,381
59000,393
60000,412
61000,408
62000,441
63000,411
64000,406
65000,408
66000,420
67000,417
68000,394
69000,384
70000,389
71000,393
72000,398
73000,404
74000,408
75000,402
76000,392
77000,395
78000,402
79000,399
80000,394
81000,394
82000,403
83000,393
84000,400
85000,395
86000,402
87000,405
88000,416
89000,410
90000,410
91000,423
92000,430
93000,411
94000,409
95000,415
96000,428
97000,408
98000,419
99000,406
100000,417
101000,411
102000,413
103000,418
104000,417
105000,400
106000,407
107000,424
108000,416
109000,408
110000,414
111000,412
112000,407
113000,416
114000,428
115000,417
116000,413
117000,417
118000,423
119000,413
120000,420
121000,434
122000,424
123000,428
124000,417
125000,411
126000,421
127000,418
128000,437
129000,421
130000,419
131000,424
132000,408
133000,419
134000,435
135000,436
136000,427
137000,429
138000,467
139000,418
140000,420
141000,426
142000,426
143000,446
144000,449
145000,439
146000,437
147000,445
148000,434
149000,458
150000,437
151000,435
152000,444
153000,452
154000,435
155000,433
156000,452
157000,449
158000,424
159000,434
160000,413
161000,440
162000,428
163000,429
164000,435
165000,452
166000,424
167000,442
168000,433
169000,445
170000,435
171000,456
172000,425
173000,592
174000,487
175000,435
176000,575
177000,454
178000,480
179000,463
180000,445
181000,428
182000,460
183000,444
184000,451
185000,434
186000,441
187000,468
188000,463
189000,443
190000,447
191000,441
192000,447
193000,486
194000,445
195000,436
196000,437
197000,436
198000,438
199000,443
