DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,0,1
2000,1,1,2
3000,3,3,4
4000,3,2,4
5000,6,3,5
6000,12,8,9
7000,14,9,10
8000,18,9,10
9000,19,10,9
10000,21,9,10
11000,24,12,9
12000,55,18,18
13000,60,19,19
14000,64,22,19
15000,78,22,19
16000,81,26,19
17000,84,27,21
18000,98,27,19
19000,101,27,25
20000,104,28,22
21000,116,31,23
22000,134,33,22
23000,141,36,25
24000,219,59,41
25000,249,56,40
26000,260,58,38
27000,281,68,37
28000,317,66,44
29000,326,73,42
30000,366,78,43
31000,367,80,42
32000,405,84,47
33000,430,96,54
34000,495,97,49
35000,480,106,44
36000,510,109,48
37000,571,116,47
38000,584,120,45
39000,627,115,54
40000,717,120,51
41000,737,141,48
42000,770,143,48
43000,740,140,51
44000,837,159,66
45000,891,156,49
46000,885,168,46
47000,968,190,47
48000,1561,239,81
49000,1693,239,85
50000,1492,253,86
51000,1681,274,81
52000,1651,262,95
53000,1781,257,88
54000,1602,257,85
55000,1927,303,83
56000,1936,292,82
57000,1866,290,85
58000,2185,308,90
59000,1779,315,89
60000,2126,328,89
61000,2061,347,85
62000,2121,363,85
63000,2281,373,90
64000,2155,357,87
65000,2228,389,87
66000,2327,423,91
67000,2561,421,97
68000,2491,420,105
69000,2592,409,96
70000,3113,471,104
71000,3329,426,109
72000,3200,473,98
73000,3076,456,95
74000,3033,456,104
75000,4267,530,100
76000,3603,492,98
77000,3641,596,100
78000,3372,558,108
79000,3323,663,125
